scenario,dim,size,scan_miss_ns,dict_miss_ns
generic,16,1,8.9,39.5
generic,16,2,10.5,39.5
generic,16,5,11.7,39.7
generic,16,10,13.7,39.9
generic,16,20,19.6,39.8
generic,16,50,48.2,40.1
generic,16,100,79.1,39.6
generic,16,200,136.7,39.4
generic,16,500,339.9,39.5
generic,16,1000,764.9,39.6
generic,16,2000,1509.6,39.5
generic,16,5000,3896.7,39.5
generic,16,6000,4694.1,39.6
generic,16,6500,5821.9,40.4
generic,16,10000,17810.7,40.0
generic,16,20000,50007.6,39.5
generic,128,1,9.0,258.3
generic,128,2,9.9,258.4
generic,128,5,11.6,258.3
generic,128,10,14.0,259.3
generic,128,20,20.8,259.4
generic,128,50,48.2,258.9
generic,128,100,77.9,259.8
generic,128,200,150.6,258.7
generic,128,500,357.2,262.4
generic,128,1000,713.2,258.2
generic,128,2000,1637.5,258.9
generic,128,5000,5506.8,258.8
generic,128,6000,7558.7,257.5
generic,128,6500,8453.9,260.4
generic,128,10000,14843.2,259.4
generic,128,20000,40847.2,259.3
generic,1024,1,8.6,1936.1
generic,1024,2,10.3,1931.0
generic,1024,5,11.5,1932.4
generic,1024,10,14.3,1941.0
generic,1024,20,18.7,1986.5
generic,1024,50,49.8,1941.7
generic,1024,100,83.4,1932.7
generic,1024,200,147.5,1938.1
generic,1024,500,465.5,1934.1
generic,1024,1000,922.6,1956.4
generic,1024,2000,3437.9,1938.4
generic,1024,5000,10628.1,1933.1
generic,1024,6000,13810.7,1934.4
generic,1024,6500,15213.9,1932.3
generic,1024,10000,25314.9,1931.4
generic,1024,20000,55356.2,1934.2
generic,8192,1,8.7,24897.1
generic,8192,2,10.2,24899.8
generic,8192,5,11.9,25046.8
generic,8192,10,14.6,26705.2
generic,8192,20,19.7,24879.5
generic,8192,50,54.0,24885.3
generic,8192,100,82.6,24871.9
generic,8192,200,145.8,24880.1
generic,8192,500,476.5,24883.7
generic,8192,1000,928.7,24872.0
generic,8192,2000,2539.7,24877.8
generic,8192,5000,17174.8,24876.0
generic,8192,6000,21682.5,25877.8
generic,8192,6500,24478.7,24876.0
generic,8192,10000,43485.8,24876.3
generic,8192,20000,102736.6,24878.2
adversarial,16,1,13.6,39.5
adversarial,16,2,19.4,39.5
adversarial,16,5,45.6,39.9
adversarial,16,10,87.6,39.9
adversarial,16,20,168.6,39.8
adversarial,16,50,391.5,39.6
adversarial,16,100,768.3,39.7
adversarial,16,200,1568.2,39.9
adversarial,16,500,3794.6,40.2
adversarial,16,1000,7512.6,39.6
adversarial,16,2000,15037.5,39.8
adversarial,16,5000,39090.3,39.7
adversarial,16,6000,45854.2,39.5
adversarial,16,6500,49859.0,40.8
adversarial,16,10000,76967.2,39.6
adversarial,16,20000,160916.4,39.7
adversarial,128,1,77.6,259.0
adversarial,128,2,148.2,258.5
adversarial,128,5,353.8,262.2
adversarial,128,10,688.6,259.6
adversarial,128,20,1360.4,258.6
adversarial,128,50,3429.1,258.1
adversarial,128,100,6784.6,258.9
adversarial,128,200,13637.0,258.5
adversarial,128,500,33923.4,258.6
adversarial,128,1000,67858.2,258.0
adversarial,128,2000,137231.6,258.5
adversarial,128,5000,353015.2,261.4
adversarial,128,6000,430325.0,258.5
adversarial,128,6500,468340.0,258.2
adversarial,128,10000,805588.0,259.2
adversarial,128,20000,1.699055e6,257.8
adversarial,1024,1,487.2,1930.2
adversarial,1024,2,963.9,1932.0
adversarial,1024,5,2433.1,1931.2
adversarial,1024,10,4845.3,1931.9
adversarial,1024,20,9639.7,1934.7
adversarial,1024,50,23977.8,1932.9
adversarial,1024,100,47975.3,1934.6
adversarial,1024,200,96149.9,1930.1
adversarial,1024,500,241090.8,1931.2
adversarial,1024,1000,512271.5,1948.0
adversarial,1024,2000,1.144632e6,1937.9
adversarial,1024,5000,2.916585e6,1938.0
adversarial,1024,6000,3.528268e6,1936.9
adversarial,1024,6500,3.847069e6,1940.3
adversarial,1024,10000,5.922168e6,1936.4
adversarial,1024,20000,1.2072234e7,1933.0
adversarial,8192,1,3790.8,24884.1
adversarial,8192,2,7536.8,24836.5
adversarial,8192,5,18803.5,24841.1
adversarial,8192,10,37602.2,24882.5
adversarial,8192,20,75677.8,24896.1
adversarial,8192,50,190182.6,25124.8
adversarial,8192,100,399579.2,24900.5
adversarial,8192,200,879988.2,24852.3
adversarial,8192,500,2.359933e6,24876.4
adversarial,8192,1000,4.980815e6,25035.5
adversarial,8192,2000,9.638511e6,24887.9
adversarial,8192,5000,2.371447e7,24902.8
adversarial,8192,6000,2.8191489e7,24872.4
adversarial,8192,6500,3.0835596e7,24832.7
adversarial,8192,10000,4.7851132e7,24883.3
adversarial,8192,20000,9.5545137e7,24871.0
