alphabet,size,structure,case,lookup_ns
birkhoff_n25,158,certificate,miss,10.71
birkhoff_n25,158,certificate,hit_best,89.61
birkhoff_n25,158,certificate,tie_search,785.65
birkhoff_n25,158,certificate_values,miss,79.8
birkhoff_n25,158,certificate_values,hit_best,100.02
birkhoff_n25,158,pattern_k4,miss,28.11
birkhoff_n25,158,pattern_k4,hit_best,106.97
birkhoff_n25,158,scan,miss,774.99
birkhoff_n25,158,scan,hit_best,202.75
birkhoff_n60,389,certificate,miss,10.35
birkhoff_n60,389,certificate,hit_best,179.36
birkhoff_n60,389,certificate,tie_search,2148.82
birkhoff_n60,389,certificate_values,miss,160.22
birkhoff_n60,389,certificate_values,hit_best,203.05
birkhoff_n60,389,pattern_k4,miss,27.36
birkhoff_n60,389,pattern_k4,hit_best,198.07
birkhoff_n60,389,scan,miss,2071.02
birkhoff_n60,389,scan,hit_best,449.63
linf_box_d3000,241,certificate,miss,10.09
linf_box_d3000,241,certificate,hit_best,1394.02
linf_box_d3000,241,certificate,tie_search,278.24
linf_box_d3000,241,certificate_values,miss,103.44
linf_box_d3000,241,certificate_values,hit_best,1451.4
linf_box_d3000,241,prefix_k8,miss,44.36
linf_box_d3000,241,prefix_k8,hit_best,1448.72
linf_box_d3000,241,scan,miss,307.36
linf_box_d3000,241,scan,hit_best,1614.68
