alphabet,real_size,structure,lookup_ns,insert_ns,delete_repair_ns,total_ns_per_iter
birkhoff_n25,158,certificate,10.71,0.0,0.0,0.2128
birkhoff_n25,158,pattern_k4,28.11,35.29,394.39,1.3583
birkhoff_n25,158,certificate_values,79.8,0.0,0.0,1.5857
birkhoff_n25,158,scan,774.99,3.75,0.0,15.4735
birkhoff_n60,389,certificate,10.35,0.0,0.0,0.2013
birkhoff_n60,389,pattern_k4,27.36,23.6,1142.58,1.0482
birkhoff_n60,389,certificate_values,160.22,0.0,0.0,3.116
birkhoff_n60,389,scan,2071.02,1.85,0.0,40.3133
linf_box_d3000,241,certificate,10.09,0.0,0.0,0.1614
linf_box_d3000,241,certificate_values,103.44,0.0,0.0,1.6548
linf_box_d3000,241,prefix_k8,44.36,150.23,382.87,3.1131
linf_box_d3000,241,scan,307.36,0.54,0.0,4.9258
