alphabet,dim,size,order,k,max_depth,n_atoms,n_leaves,mean_leaf_size,max_leaf_size,atom_collision_rate,mean_depth,max_depth_reached
birkhoff_n25,625,50,first_k,4,1,50,4,12.5,43,1.0,1.0,1
birkhoff_n25,625,50,first_k,4,2,50,8,6.25,36,0.96,2.0,2
birkhoff_n25,625,50,first_k,4,4,50,16,3.125,18,0.9,3.9,4
birkhoff_n25,625,50,random,4,1,50,3,16.667,43,0.98,1.0,1
birkhoff_n25,625,50,random,4,2,50,8,6.25,34,0.92,1.98,2
birkhoff_n25,625,50,random,4,4,50,19,2.632,21,0.76,3.72,4
birkhoff_n25,625,50,selectivity,4,1,50,9,5.556,29,0.94,1.0,1
birkhoff_n25,625,50,selectivity,4,2,50,22,2.273,18,0.7,1.94,2
birkhoff_n25,625,50,selectivity,4,4,50,41,1.22,6,0.26,3.1,4
birkhoff_n25,625,50,strided,4,1,50,4,12.5,39,1.0,1.0,1
birkhoff_n25,625,50,strided,4,2,50,11,4.545,30,0.92,2.0,2
birkhoff_n25,625,50,strided,4,4,50,20,2.5,21,0.78,3.8,4
birkhoff_n25,625,50,first_k,8,1,50,8,6.25,36,0.96,1.0,1
birkhoff_n25,625,50,first_k,8,2,50,16,3.125,18,0.9,1.96,2
birkhoff_n25,625,50,first_k,8,4,50,35,1.429,4,0.5,3.7,4
birkhoff_n25,625,50,random,8,1,50,8,6.25,34,0.92,1.0,1
birkhoff_n25,625,50,random,8,2,50,19,2.632,21,0.76,1.92,2
birkhoff_n25,625,50,random,8,4,50,33,1.515,13,0.44,3.26,4
birkhoff_n25,625,50,selectivity,8,1,50,22,2.273,18,0.7,1.0,1
birkhoff_n25,625,50,selectivity,8,2,50,41,1.22,6,0.26,1.7,2
birkhoff_n25,625,50,selectivity,8,4,50,50,1.0,1,0.0,2.0,4
birkhoff_n25,625,50,strided,8,1,50,9,5.556,38,0.9,1.0,1
birkhoff_n25,625,50,strided,8,2,50,19,2.632,23,0.76,1.9,2
birkhoff_n25,625,50,strided,8,4,50,36,1.389,11,0.36,3.2,4
birkhoff_n25,625,50,first_k,16,1,50,16,3.125,18,0.9,1.0,1
birkhoff_n25,625,50,first_k,16,2,50,35,1.429,4,0.5,1.9,2
birkhoff_n25,625,50,first_k,16,4,50,50,1.0,1,0.0,2.4,3
birkhoff_n25,625,50,random,16,1,50,19,2.632,21,0.76,1.0,1
birkhoff_n25,625,50,random,16,2,50,33,1.515,13,0.44,1.76,2
birkhoff_n25,625,50,random,16,4,50,49,1.02,2,0.04,2.42,4
birkhoff_n25,625,50,selectivity,16,1,50,41,1.22,6,0.26,1.0,1
birkhoff_n25,625,50,selectivity,16,2,50,50,1.0,1,0.0,1.26,2
birkhoff_n25,625,50,selectivity,16,4,50,50,1.0,1,0.0,1.26,2
birkhoff_n25,625,50,strided,16,1,50,20,2.5,22,0.74,1.0,1
birkhoff_n25,625,50,strided,16,2,50,39,1.282,9,0.3,1.74,2
birkhoff_n25,625,50,strided,16,4,50,48,1.042,3,0.06,2.2,4
birkhoff_n25,625,100,first_k,4,1,100,5,20.0,86,1.0,1.0,1
birkhoff_n25,625,100,first_k,4,2,100,9,11.111,74,0.99,2.0,2
birkhoff_n25,625,100,first_k,4,4,100,17,5.882,42,0.99,3.98,4
birkhoff_n25,625,100,random,4,1,100,6,16.667,82,0.98,1.0,1
birkhoff_n25,625,100,random,4,2,100,12,8.333,70,0.95,1.98,2
birkhoff_n25,625,100,random,4,4,100,24,4.167,47,0.91,3.86,4
birkhoff_n25,625,100,selectivity,4,1,100,9,11.111,64,0.98,1.0,1
birkhoff_n25,625,100,selectivity,4,2,100,22,4.545,41,0.91,1.98,2
birkhoff_n25,625,100,selectivity,4,4,100,56,1.786,19,0.61,3.62,4
birkhoff_n25,625,100,strided,4,1,100,5,20.0,83,1.0,1.0,1
birkhoff_n25,625,100,strided,4,2,100,13,7.692,72,0.96,2.0,2
birkhoff_n25,625,100,strided,4,4,100,27,3.704,50,0.89,3.89,4
birkhoff_n25,625,100,first_k,8,1,100,9,11.111,74,0.99,1.0,1
birkhoff_n25,625,100,first_k,8,2,100,17,5.882,42,0.99,1.99,2
birkhoff_n25,625,100,first_k,8,4,100,56,1.786,6,0.63,3.96,4
birkhoff_n25,625,100,random,8,1,100,12,8.333,70,0.95,1.0,1
birkhoff_n25,625,100,random,8,2,100,24,4.167,47,0.91,1.95,2
birkhoff_n25,625,100,random,8,4,100,55,1.818,30,0.57,3.6,4
birkhoff_n25,625,100,selectivity,8,1,100,22,4.545,41,0.91,1.0,1
birkhoff_n25,625,100,selectivity,8,2,100,56,1.786,19,0.61,1.91,2
birkhoff_n25,625,100,selectivity,8,4,100,93,1.075,6,0.09,2.85,4
birkhoff_n25,625,100,strided,8,1,100,12,8.333,70,0.95,1.0,1
birkhoff_n25,625,100,strided,8,2,100,28,3.571,47,0.84,1.95,2
birkhoff_n25,625,100,strided,8,4,100,62,1.613,24,0.49,3.46,4
birkhoff_n25,625,100,first_k,16,1,100,17,5.882,42,0.99,1.0,1
birkhoff_n25,625,100,first_k,16,2,100,56,1.786,6,0.63,1.99,2
birkhoff_n25,625,100,first_k,16,4,100,99,1.01,2,0.02,2.71,4
birkhoff_n25,625,100,random,16,1,100,24,4.167,47,0.91,1.0,1
birkhoff_n25,625,100,random,16,2,100,55,1.818,30,0.57,1.91,2
birkhoff_n25,625,100,random,16,4,100,90,1.111,9,0.13,2.81,4
birkhoff_n25,625,100,selectivity,16,1,100,56,1.786,19,0.61,1.0,1
birkhoff_n25,625,100,selectivity,16,2,100,93,1.075,6,0.09,1.61,2
birkhoff_n25,625,100,selectivity,16,4,100,100,1.0,1,0.0,1.7,3
birkhoff_n25,625,100,strided,16,1,100,30,3.333,46,0.82,1.0,1
birkhoff_n25,625,100,strided,16,2,100,63,1.587,20,0.52,1.82,2
birkhoff_n25,625,100,strided,16,4,100,93,1.075,7,0.09,2.59,4
birkhoff_n25,625,158,first_k,4,1,158,5,31.6,137,1.0,1.0,1
birkhoff_n25,625,158,first_k,4,2,158,9,17.556,115,1.0,2.0,2
birkhoff_n25,625,158,first_k,4,4,158,17,9.294,59,1.0,4.0,4
birkhoff_n25,625,158,random,4,1,158,6,26.333,131,0.9937,1.0,1
birkhoff_n25,625,158,random,4,2,158,14,11.286,115,0.9684,1.994,2
birkhoff_n25,625,158,random,4,4,158,31,5.097,75,0.9177,3.918,4
birkhoff_n25,625,158,selectivity,4,1,158,12,13.167,111,0.9684,1.0,1
birkhoff_n25,625,158,selectivity,4,2,158,30,5.267,80,0.8987,1.968,2
birkhoff_n25,625,158,selectivity,4,4,158,69,2.29,43,0.7215,3.709,4
birkhoff_n25,625,158,strided,4,1,158,5,31.6,133,1.0,1.0,1
