alphabet,size,structure,k,lookup_ns,insert_ns,delete_repair_ns
birkhoff_n25,50,scan,0,281.77,23.39,0.0
birkhoff_n25,50,prefix_k8,8,212.19,103.16,44.13
birkhoff_n25,50,pattern_k8,8,34.4,56.67,183.52
birkhoff_n25,50,trie_selectivity_k16_d4,16,329.37,734.36,284.27
birkhoff_n25,50,raw_deleteat,0,,,95.3
birkhoff_n25,100,scan,0,564.0,20.24,0.0
birkhoff_n25,100,prefix_k8,8,375.07,101.11,64.64
birkhoff_n25,100,pattern_k8,8,36.67,99.59,299.78
birkhoff_n25,100,trie_selectivity_k16_d4,16,388.02,793.12,661.18
birkhoff_n25,100,raw_deleteat,0,,,206.82
birkhoff_n25,158,scan,0,1015.58,3.75,0.0
birkhoff_n25,158,prefix_k8,8,573.16,85.8,79.19
birkhoff_n25,158,pattern_k8,8,34.36,97.67,377.15
birkhoff_n25,158,trie_selectivity_k16_d4,16,383.6,773.35,1003.76
birkhoff_n25,158,raw_deleteat,0,,,357.09
birkhoff_n25,200,scan,0,1375.52,0.97,0.0
birkhoff_n25,200,prefix_k8,8,695.98,89.63,92.76
birkhoff_n25,200,pattern_k8,8,34.63,54.96,704.47
birkhoff_n25,200,trie_selectivity_k16_d4,16,423.46,832.76,1319.59
birkhoff_n25,200,raw_deleteat,0,,,394.29
birkhoff_n25,241,scan,0,1652.79,1.71,0.0
birkhoff_n25,241,prefix_k8,8,892.03,92.36,152.06
birkhoff_n25,241,pattern_k8,8,34.02,44.88,743.38
birkhoff_n25,241,trie_selectivity_k16_d4,16,465.49,855.85,1539.8
birkhoff_n25,241,raw_deleteat,0,,,523.27
birkhoff_n25,300,scan,0,2152.35,0.06,0.0
birkhoff_n25,300,prefix_k8,8,1191.36,98.73,98.89
birkhoff_n25,300,pattern_k8,8,33.93,44.57,844.97
birkhoff_n25,300,trie_selectivity_k16_d4,16,492.46,992.75,1922.8
birkhoff_n25,300,raw_deleteat,0,,,542.7
birkhoff_n25,389,scan,0,2982.73,1.29,0.0
birkhoff_n25,389,prefix_k8,8,1489.63,95.3,128.28
birkhoff_n25,389,pattern_k8,8,33.69,48.63,1010.38
birkhoff_n25,389,trie_selectivity_k16_d4,16,492.77,1010.7,2480.54
birkhoff_n25,389,raw_deleteat,0,,,689.38
birkhoff_n60,50,scan,0,274.81,16.72,0.0
birkhoff_n60,50,prefix_k8,8,282.49,103.35,37.05
birkhoff_n60,50,pattern_k8,8,35.17,59.19,179.25
birkhoff_n60,50,trie_selectivity_k16_d4,16,548.28,803.84,339.92
birkhoff_n60,50,raw_deleteat,0,,,96.19
birkhoff_n60,100,scan,0,591.12,18.44,0.0
birkhoff_n60,100,prefix_k8,8,528.77,91.81,54.44
birkhoff_n60,100,pattern_k8,8,34.6,93.11,280.73
birkhoff_n60,100,trie_selectivity_k16_d4,16,576.8,849.2,587.46
birkhoff_n60,100,raw_deleteat,0,,,217.67
birkhoff_n60,158,scan,0,984.06,2.4,0.0
birkhoff_n60,158,prefix_k8,8,895.98,93.38,66.54
birkhoff_n60,158,pattern_k8,8,33.46,93.24,394.51
birkhoff_n60,158,trie_selectivity_k16_d4,16,625.32,1032.18,916.64
birkhoff_n60,158,raw_deleteat,0,,,316.74
birkhoff_n60,200,scan,0,1312.05,0.45,0.0
birkhoff_n60,200,prefix_k8,8,1114.01,101.3,80.82
birkhoff_n60,200,pattern_k8,8,34.57,59.9,689.46
birkhoff_n60,200,trie_selectivity_k16_d4,16,653.19,1155.88,1316.87
birkhoff_n60,200,raw_deleteat,0,,,365.38
birkhoff_n60,241,scan,0,1646.19,1.65,0.0
birkhoff_n60,241,prefix_k8,8,1506.29,101.23,99.44
birkhoff_n60,241,pattern_k8,8,35.74,44.2,737.57
birkhoff_n60,241,trie_selectivity_k16_d4,16,723.13,942.36,1731.42
birkhoff_n60,241,raw_deleteat,0,,,468.18
birkhoff_n60,300,scan,0,2241.94,0.54,0.0
birkhoff_n60,300,prefix_k8,8,1749.45,90.94,97.36
birkhoff_n60,300,pattern_k8,8,34.27,48.67,846.16
birkhoff_n60,300,trie_selectivity_k16_d4,16,710.52,864.57,1954.26
birkhoff_n60,300,raw_deleteat,0,,,579.25
birkhoff_n60,389,scan,0,2954.33,1.85,0.0
birkhoff_n60,389,prefix_k8,8,2385.03,88.14,128.49
birkhoff_n60,389,pattern_k8,8,37.1,56.93,1063.6
birkhoff_n60,389,trie_selectivity_k16_d4,16,784.56,743.27,2330.39
birkhoff_n60,389,raw_deleteat,0,,,676.12
linf_box_d3000,50,scan,0,134.49,8.79,0.0
linf_box_d3000,50,prefix_k8,8,46.29,85.37,192.11
linf_box_d3000,50,trie_selectivity_k16_d1,16,72.18,164.51,261.46
linf_box_d3000,50,raw_deleteat,0,,,13.05
linf_box_d3000,100,scan,0,467.19,8.11,0.0
linf_box_d3000,100,prefix_k8,8,49.11,86.21,294.52
linf_box_d3000,100,trie_selectivity_k16_d1,16,74.65,384.34,451.04
linf_box_d3000,100,raw_deleteat,0,,,40.72
linf_box_d3000,158,scan,0,1159.66,0.68,0.0
linf_box_d3000,158,prefix_k8,8,55.94,95.33,437.68
linf_box_d3000,158,trie_selectivity_k16_d1,16,81.03,419.95,556.08
linf_box_d3000,158,raw_deleteat,0,,,64.12
linf_box_d3000,200,scan,0,1632.05,0.65,0.0
linf_box_d3000,200,prefix_k8,8,54.09,86.65,458.73
linf_box_d3000,200,trie_selectivity_k16_d1,16,73.51,177.79,919.98
linf_box_d3000,200,raw_deleteat,0,,,79.27
linf_box_d3000,241,scan,0,2094.92,0.54,0.0
linf_box_d3000,241,prefix_k8,8,55.77,150.94,504.3
linf_box_d3000,241,trie_selectivity_k16_d1,16,72.4,160.52,1039.67
linf_box_d3000,241,raw_deleteat,0,,,103.27
linf_box_d3000,300,scan,0,2750.24,0.42,0.0
linf_box_d3000,300,prefix_k8,8,57.8,159.75,529.55
linf_box_d3000,300,trie_selectivity_k16_d1,16,74.61,183.06,1359.79
linf_box_d3000,300,raw_deleteat,0,,,127.76
linf_box_d3000,389,scan,0,3615.49,0.62,0.0
linf_box_d3000,389,prefix_k8,8,62.7,103.47,916.44
linf_box_d3000,389,trie_selectivity_k16_d1,16,75.79,198.2,1682.87
linf_box_d3000,389,raw_deleteat,0,,,183.78
generic_d3000,50,scan,0,45.17,4.97,0.0
generic_d3000,50,prefix_k8,8,35.55,68.26,207.43
generic_d3000,50,trie_first_k_k4_d1,4,31.05,79.49,221.8
generic_d3000,50,raw_deleteat,0,,,14.38
generic_d3000,100,scan,0,100.34,4.94,0.0
generic_d3000,100,prefix_k8,8,41.32,127.28,363.91
generic_d3000,100,trie_first_k_k4_d1,4,33.19,148.11,408.52
generic_d3000,100,raw_deleteat,0,,,33.17
generic_d3000,158,scan,0,142.93,0.51,0.0
generic_d3000,158,prefix_k8,8,36.38,116.44,447.15
generic_d3000,158,trie_first_k_k4_d1,4,32.56,163.26,614.42
generic_d3000,158,raw_deleteat,0,,,57.19
generic_d3000,200,scan,0,166.94,0.7,0.0
generic_d3000,200,prefix_k8,8,36.06,56.41,761.18
generic_d3000,200,trie_first_k_k4_d1,4,30.64,72.03,909.24
generic_d3000,200,raw_deleteat,0,,,72.45
generic_d3000,241,scan,0,205.63,0.64,0.0
generic_d3000,241,prefix_k8,8,39.09,62.83,940.15
generic_d3000,241,trie_first_k_k4_d1,4,33.83,81.47,1243.19
generic_d3000,241,raw_deleteat,0,,,103.21
generic_d3000,300,scan,0,239.32,0.66,0.0
generic_d3000,300,prefix_k8,8,40.0,54.04,1047.73
generic_d3000,300,trie_first_k_k4_d1,4,33.29,70.92,1278.49
generic_d3000,300,raw_deleteat,0,,,128.28
generic_d3000,389,scan,0,308.95,0.71,0.0
generic_d3000,389,prefix_k8,8,37.78,63.64,1241.35
generic_d3000,389,trie_first_k_k4_d1,4,33.11,81.13,1514.62
generic_d3000,389,raw_deleteat,0,,,183.44
