alphabet,real_size,structure,lookup_rate_per_iter,insert_rate_per_iter,delete_rate_per_iter,lookup_ns,insert_ns,delete_repair_ns,total_ns_per_iter
birkhoff_n25,158,pattern_k8,0.01987,0.01987,0.000249938,32.31,92.03,417.18,2.575
birkhoff_n25,158,prefix_k8,0.01987,0.01987,0.000249938,524.09,112.77,74.63,12.673
birkhoff_n25,158,scan,0.01987,0.01987,0.000249938,952.88,1.38,0.0,18.961
birkhoff_n25,158,trie_selectivity_k16_d4,0.01987,0.01987,0.000249938,397.64,796.34,912.36,23.952
birkhoff_n60,389,pattern_k8,0.01945,0.01945,4.9995e-5,34.22,66.94,1187.04,2.027
birkhoff_n60,389,trie_selectivity_k16_d4,0.01945,0.01945,4.9995e-5,759.66,899.34,2277.84,32.378
birkhoff_n60,389,prefix_k8,0.01945,0.01945,4.9995e-5,2329.98,85.36,129.65,46.98
birkhoff_n60,389,scan,0.01945,0.01945,4.9995e-5,2957.67,2.57,0.0,57.571
linf_box_d3000,241,prefix_k8,0.016,0.016,0.0,58.05,152.61,487.09,3.37
linf_box_d3000,241,trie_selectivity_k16_d1,0.016,0.016,0.0,71.3,179.16,962.16,4.007
linf_box_d3000,241,scan,0.016,0.016,0.0,1918.48,0.5,0.0,30.7
