alphabet,representation,k,size,lookup_bytes,lookup_allocs,insert_bytes,insert_allocs,delete_repair_bytes,delete_repair_allocs
birkhoff_n25,vector,2,158,80,2,144,4,48,1
birkhoff_n25,uint64,2,158,0,0,64,2,48,1
birkhoff_n25,tuple,2,158,0,0,64,2,48,1
birkhoff_n25,vector,4,158,96,2,160,4,0,0
birkhoff_n25,uint64,4,158,0,0,64,2,0,0
birkhoff_n25,tuple,4,158,0,0,64,2,0,0
birkhoff_n25,vector,8,158,128,2,192,4,0,0
birkhoff_n25,uint64,8,158,0,0,64,2,0,0
birkhoff_n25,tuple,8,158,0,0,64,2,0,0
birkhoff_n60,vector,2,389,80,2,144,4,0,0
birkhoff_n60,uint64,2,389,0,0,64,2,0,0
birkhoff_n60,tuple,2,389,0,0,64,2,0,0
birkhoff_n60,vector,4,389,96,2,160,4,0,0
birkhoff_n60,uint64,4,389,0,0,64,2,0,0
birkhoff_n60,tuple,4,389,0,0,64,2,0,0
birkhoff_n60,vector,8,389,128,2,192,4,0,0
birkhoff_n60,uint64,8,389,0,0,64,2,0,0
birkhoff_n60,tuple,8,389,0,0,64,2,0,0
linf_box_d3000,vector_f64,2,241,80,2,2232,4,0,0
linf_box_d3000,vector_f64,4,241,96,2,432,3,0,0
linf_box_d3000,vector_f64,8,241,128,2,192,4,32,1
generic_d3000,vector_f64,2,241,80,2,144,4,0,0
generic_d3000,vector_f64,4,241,96,2,160,4,0,0
generic_d3000,vector_f64,8,241,128,2,192,4,0,0
