alphabet,representation,k,size,n_atoms,n_buckets,mean_bucket_size,max_bucket_size,atom_collision_rate
birkhoff_n25,vector,2,158,158,135,1.17,3,0.2785
birkhoff_n25,uint64,2,158,158,135,1.17,3,0.2785
birkhoff_n25,tuple,2,158,158,135,1.17,3,0.2785
birkhoff_n25,vector,4,158,158,158,1.0,1,0.0
birkhoff_n25,uint64,4,158,158,158,1.0,1,0.0
birkhoff_n25,tuple,4,158,158,158,1.0,1,0.0
birkhoff_n25,vector,8,158,158,158,1.0,1,0.0
birkhoff_n25,uint64,8,158,158,158,1.0,1,0.0
birkhoff_n25,tuple,8,158,158,158,1.0,1,0.0
birkhoff_n60,vector,2,389,389,367,1.06,2,0.1131
birkhoff_n60,uint64,2,389,389,367,1.06,2,0.1131
birkhoff_n60,tuple,2,389,389,367,1.06,2,0.1131
birkhoff_n60,vector,4,389,389,389,1.0,1,0.0
birkhoff_n60,uint64,4,389,389,389,1.0,1,0.0
birkhoff_n60,tuple,4,389,389,389,1.0,1,0.0
birkhoff_n60,vector,8,389,389,389,1.0,1,0.0
birkhoff_n60,uint64,8,389,389,389,1.0,1,0.0
birkhoff_n60,tuple,8,389,389,389,1.0,1,0.0
linf_box_d3000,vector_f64,2,241,241,4,60.25,65,1.0
linf_box_d3000,vector_f64,4,241,241,16,15.062,21,1.0
linf_box_d3000,vector_f64,8,241,241,166,1.452,4,0.5643
generic_d3000,vector_f64,2,241,241,241,1.0,1,0.0
generic_d3000,vector_f64,4,241,241,241,1.0,1,0.0
generic_d3000,vector_f64,8,241,241,241,1.0,1,0.0
