alphabet,representation,k,size,lookup_ns,insert_ns,delete_repair_ns
birkhoff_n25,vector,2,158,28.93,100.63,419.58
birkhoff_n25,uint64,2,158,19.03,39.46,365.05
birkhoff_n25,tuple,2,158,14.23,37.38,399.95
birkhoff_n25,vector,4,158,26.63,70.81,435.44
birkhoff_n25,uint64,4,158,15.59,35.29,394.39
birkhoff_n25,tuple,4,158,13.34,177.65,326.04
birkhoff_n25,vector,8,158,31.94,91.12,440.08
birkhoff_n25,uint64,8,158,21.92,44.16,378.95
birkhoff_n25,tuple,8,158,21.56,34.76,636.92
birkhoff_n60,vector,2,389,27.76,38.26,1136.41
birkhoff_n60,uint64,2,389,14.26,23.44,1111.73
birkhoff_n60,tuple,2,389,12.42,19.84,1241.93
birkhoff_n60,vector,4,389,28.25,45.72,1131.04
birkhoff_n60,uint64,4,389,15.24,23.6,1142.58
birkhoff_n60,tuple,4,389,13.92,135.57,987.56
birkhoff_n60,vector,8,389,33.97,57.91,1115.1
birkhoff_n60,uint64,8,389,23.67,33.65,1158.68
birkhoff_n60,tuple,8,389,24.02,31.39,1212.21
linf_box_d3000,vector_f64,2,241,503.07,35.49,68.98
linf_box_d3000,vector_f64,4,241,122.55,46.77,125.67
linf_box_d3000,vector_f64,8,241,57.4,150.23,382.87
generic_d3000,vector_f64,2,241,23.84,38.0,688.6
generic_d3000,vector_f64,4,241,28.98,47.25,745.16
generic_d3000,vector_f64,8,241,36.6,61.47,726.26
