alphabet,representation,k,real_size,lookup_rate_per_iter,insert_rate_per_iter,delete_rate_per_iter,lookup_ns,insert_ns,delete_repair_ns,total_ns_per_iter,lookup_bytes,insert_bytes,delete_repair_bytes,total_bytes_per_iter
birkhoff_n25,tuple,2,158,0.01987,0.01987,0.000249938,14.23,37.38,399.95,1.126,0,64,48,1.28
birkhoff_n25,uint64,2,158,0.01987,0.01987,0.000249938,19.03,39.46,365.05,1.253,0,64,48,1.28
birkhoff_n25,vector,2,158,0.01987,0.01987,0.000249938,28.93,100.63,419.58,2.679,80,144,48,4.46
birkhoff_n25,uint64,4,158,0.01987,0.01987,0.000249938,15.59,35.29,394.39,1.11,0,64,0,1.27
birkhoff_n25,vector,4,158,0.01987,0.01987,0.000249938,26.63,70.81,435.44,2.045,96,160,0,5.09
birkhoff_n25,tuple,4,158,0.01987,0.01987,0.000249938,13.34,177.65,326.04,3.876,0,64,0,1.27
birkhoff_n25,tuple,8,158,0.01987,0.01987,0.000249938,21.56,34.76,636.92,1.278,0,64,0,1.27
birkhoff_n25,uint64,8,158,0.01987,0.01987,0.000249938,21.92,44.16,378.95,1.408,0,64,0,1.27
birkhoff_n25,vector,8,158,0.01987,0.01987,0.000249938,31.94,91.12,440.08,2.555,128,192,0,6.36
birkhoff_n60,tuple,2,389,0.01945,0.01945,4.9995e-5,12.42,19.84,1241.93,0.689,0,64,0,1.24
birkhoff_n60,uint64,2,389,0.01945,0.01945,4.9995e-5,14.26,23.44,1111.73,0.789,0,64,0,1.24
birkhoff_n60,vector,2,389,0.01945,0.01945,4.9995e-5,27.76,38.26,1136.41,1.341,80,144,0,4.36
birkhoff_n60,uint64,4,389,0.01945,0.01945,4.9995e-5,15.24,23.6,1142.58,0.812,0,64,0,1.24
birkhoff_n60,vector,4,389,0.01945,0.01945,4.9995e-5,28.25,45.72,1131.04,1.495,96,160,0,4.98
birkhoff_n60,tuple,4,389,0.01945,0.01945,4.9995e-5,13.92,135.57,987.56,2.957,0,64,0,1.24
birkhoff_n60,tuple,8,389,0.01945,0.01945,4.9995e-5,24.02,31.39,1212.21,1.138,0,64,0,1.24
birkhoff_n60,uint64,8,389,0.01945,0.01945,4.9995e-5,23.67,33.65,1158.68,1.173,0,64,0,1.24
birkhoff_n60,vector,8,389,0.01945,0.01945,4.9995e-5,33.97,57.91,1115.1,1.843,128,192,0,6.22
linf_box_d3000,vector_f64,2,241,0.016,0.016,0.0,503.07,35.49,68.98,8.616,80,2232,0,36.99
linf_box_d3000,vector_f64,4,241,0.016,0.016,0.0,122.55,46.77,125.67,2.709,96,432,0,8.45
linf_box_d3000,vector_f64,8,241,0.016,0.016,0.0,57.4,150.23,382.87,3.322,128,192,32,5.12
