alphabet,dim,size,k,n_atoms,n_buckets,mean_bucket_size,max_bucket_size,atom_collision_rate,bucket_collision_rate
generic,625,1,1,1,1,1.0,1,0.0,0.0
generic,625,1,2,1,1,1.0,1,0.0,0.0
generic,625,1,4,1,1,1.0,1,0.0,0.0
generic,625,1,8,1,1,1.0,1,0.0,0.0
generic,625,1,16,1,1,1.0,1,0.0,0.0
generic,625,1,32,1,1,1.0,1,0.0,0.0
generic,625,1,64,1,1,1.0,1,0.0,0.0
generic,625,1,625,1,1,1.0,1,0.0,0.0
generic,625,2,1,2,2,1.0,1,0.0,0.0
generic,625,2,2,2,2,1.0,1,0.0,0.0
generic,625,2,4,2,2,1.0,1,0.0,0.0
generic,625,2,8,2,2,1.0,1,0.0,0.0
generic,625,2,16,2,2,1.0,1,0.0,0.0
generic,625,2,32,2,2,1.0,1,0.0,0.0
generic,625,2,64,2,2,1.0,1,0.0,0.0
generic,625,2,625,2,2,1.0,1,0.0,0.0
generic,625,5,1,5,5,1.0,1,0.0,0.0
generic,625,5,2,5,5,1.0,1,0.0,0.0
generic,625,5,4,5,5,1.0,1,0.0,0.0
generic,625,5,8,5,5,1.0,1,0.0,0.0
generic,625,5,16,5,5,1.0,1,0.0,0.0
generic,625,5,32,5,5,1.0,1,0.0,0.0
generic,625,5,64,5,5,1.0,1,0.0,0.0
generic,625,5,625,5,5,1.0,1,0.0,0.0
generic,625,10,1,10,10,1.0,1,0.0,0.0
generic,625,10,2,10,10,1.0,1,0.0,0.0
generic,625,10,4,10,10,1.0,1,0.0,0.0
generic,625,10,8,10,10,1.0,1,0.0,0.0
generic,625,10,16,10,10,1.0,1,0.0,0.0
generic,625,10,32,10,10,1.0,1,0.0,0.0
generic,625,10,64,10,10,1.0,1,0.0,0.0
generic,625,10,625,10,10,1.0,1,0.0,0.0
generic,625,20,1,20,20,1.0,1,0.0,0.0
generic,625,20,2,20,20,1.0,1,0.0,0.0
generic,625,20,4,20,20,1.0,1,0.0,0.0
generic,625,20,8,20,20,1.0,1,0.0,0.0
generic,625,20,16,20,20,1.0,1,0.0,0.0
generic,625,20,32,20,20,1.0,1,0.0,0.0
generic,625,20,64,20,20,1.0,1,0.0,0.0
generic,625,20,625,20,20,1.0,1,0.0,0.0
generic,625,50,1,50,50,1.0,1,0.0,0.0
generic,625,50,2,50,50,1.0,1,0.0,0.0
generic,625,50,4,50,50,1.0,1,0.0,0.0
generic,625,50,8,50,50,1.0,1,0.0,0.0
generic,625,50,16,50,50,1.0,1,0.0,0.0
generic,625,50,32,50,50,1.0,1,0.0,0.0
generic,625,50,64,50,50,1.0,1,0.0,0.0
generic,625,50,625,50,50,1.0,1,0.0,0.0
generic,625,100,1,100,100,1.0,1,0.0,0.0
generic,625,100,2,100,100,1.0,1,0.0,0.0
generic,625,100,4,100,100,1.0,1,0.0,0.0
generic,625,100,8,100,100,1.0,1,0.0,0.0
generic,625,100,16,100,100,1.0,1,0.0,0.0
generic,625,100,32,100,100,1.0,1,0.0,0.0
generic,625,100,64,100,100,1.0,1,0.0,0.0
generic,625,100,625,100,100,1.0,1,0.0,0.0
generic,625,158,1,158,158,1.0,1,0.0,0.0
generic,625,158,2,158,158,1.0,1,0.0,0.0
generic,625,158,4,158,158,1.0,1,0.0,0.0
generic,625,158,8,158,158,1.0,1,0.0,0.0
generic,625,158,16,158,158,1.0,1,0.0,0.0
generic,625,158,32,158,158,1.0,1,0.0,0.0
generic,625,158,64,158,158,1.0,1,0.0,0.0
generic,625,158,625,158,158,1.0,1,0.0,0.0
generic,625,200,1,200,200,1.0,1,0.0,0.0
generic,625,200,2,200,200,1.0,1,0.0,0.0
generic,625,200,4,200,200,1.0,1,0.0,0.0
generic,625,200,8,200,200,1.0,1,0.0,0.0
generic,625,200,16,200,200,1.0,1,0.0,0.0
generic,625,200,32,200,200,1.0,1,0.0,0.0
generic,625,200,64,200,200,1.0,1,0.0,0.0
generic,625,200,625,200,200,1.0,1,0.0,0.0
generic,625,300,1,300,300,1.0,1,0.0,0.0
generic,625,300,2,300,300,1.0,1,0.0,0.0
generic,625,300,4,300,300,1.0,1,0.0,0.0
generic,625,300,8,300,300,1.0,1,0.0,0.0
generic,625,300,16,300,300,1.0,1,0.0,0.0
generic,625,300,32,300,300,1.0,1,0.0,0.0
generic,625,300,64,300,300,1.0,1,0.0,0.0
generic,625,300,625,300,300,1.0,1,0.0,0.0
generic,625,389,1,389,389,1.0,1,0.0,0.0
generic,625,389,2,389,389,1.0,1,0.0,0.0
generic,625,389,4,389,389,1.0,1,0.0,0.0
generic,625,389,8,389,389,1.0,1,0.0,0.0
generic,625,389,16,389,389,1.0,1,0.0,0.0
generic,625,389,32,389,389,1.0,1,0.0,0.0
generic,625,389,64,389,389,1.0,1,0.0,0.0
generic,625,389,625,389,389,1.0,1,0.0,0.0
generic,625,500,1,500,500,1.0,1,0.0,0.0
