alphabet,dim,size,querytype,method,k,ns
generic,625,1,miss,scan,0,2.2
generic,625,1,miss,prefix,1,19.5
generic,625,1,miss,prefix,2,22.7
generic,625,1,miss,prefix,4,49.7
generic,625,1,miss,prefix,8,67.6
generic,625,1,miss,prefix,16,100.3
generic,625,1,miss,prefix,32,170.5
generic,625,1,miss,prefix,64,249.0
generic,625,1,miss,prefix,625,1476.5
generic,625,1,hit,scan,0,332.8
generic,625,1,hit,prefix,1,329.4
generic,625,1,hit,prefix,2,337.6
generic,625,1,hit,prefix,4,339.0
generic,625,1,hit,prefix,8,353.2
generic,625,1,hit,prefix,16,368.4
generic,625,1,hit,prefix,32,413.2
generic,625,1,hit,prefix,64,509.7
generic,625,1,hit,prefix,625,3501.3
generic,625,1,mix,scan,0,164.7
generic,625,1,mix,prefix,1,182.0
generic,625,1,mix,prefix,2,182.8
generic,625,1,mix,prefix,4,187.0
generic,625,1,mix,prefix,8,196.1
generic,625,1,mix,prefix,16,214.6
generic,625,1,mix,prefix,32,253.9
generic,625,1,mix,prefix,64,335.6
generic,625,1,mix,prefix,625,1797.2
generic,625,2,miss,scan,0,3.1
generic,625,2,miss,prefix,1,21.0
generic,625,2,miss,prefix,2,22.3
generic,625,2,miss,prefix,4,29.4
generic,625,2,miss,prefix,8,63.0
generic,625,2,miss,prefix,16,101.4
generic,625,2,miss,prefix,32,171.3
generic,625,2,miss,prefix,64,245.1
generic,625,2,miss,prefix,625,1469.1
generic,625,2,hit,scan,0,312.7
generic,625,2,hit,prefix,1,332.5
generic,625,2,hit,prefix,2,333.9
generic,625,2,hit,prefix,4,340.0
generic,625,2,hit,prefix,8,347.3
generic,625,2,hit,prefix,16,367.8
generic,625,2,hit,prefix,32,418.5
generic,625,2,hit,prefix,64,514.4
generic,625,2,hit,prefix,625,2272.9
generic,625,2,mix,scan,0,156.3
generic,625,2,mix,prefix,1,181.1
generic,625,2,mix,prefix,2,182.0
generic,625,2,mix,prefix,4,191.0
generic,625,2,mix,prefix,8,200.6
generic,625,2,mix,prefix,16,227.6
generic,625,2,mix,prefix,32,270.2
generic,625,2,mix,prefix,64,344.3
generic,625,2,mix,prefix,625,1844.7
generic,625,5,miss,scan,0,5.4
generic,625,5,miss,prefix,1,23.6
generic,625,5,miss,prefix,2,25.9
generic,625,5,miss,prefix,4,29.9
generic,625,5,miss,prefix,8,69.1
generic,625,5,miss,prefix,16,104.9
generic,625,5,miss,prefix,32,174.2
generic,625,5,miss,prefix,64,247.9
generic,625,5,miss,prefix,625,1574.1
generic,625,5,hit,scan,0,327.5
generic,625,5,hit,prefix,1,343.9
generic,625,5,hit,prefix,2,335.6
generic,625,5,hit,prefix,4,343.0
generic,625,5,hit,prefix,8,351.3
generic,625,5,hit,prefix,16,383.1
generic,625,5,hit,prefix,32,437.1
generic,625,5,hit,prefix,64,517.3
generic,625,5,hit,prefix,625,2229.4
generic,625,5,mix,scan,0,167.9
generic,625,5,mix,prefix,1,189.1
generic,625,5,mix,prefix,2,190.4
generic,625,5,mix,prefix,4,193.5
generic,625,5,mix,prefix,8,204.3
generic,625,5,mix,prefix,16,224.3
generic,625,5,mix,prefix,32,260.5
generic,625,5,mix,prefix,64,343.5
generic,625,5,mix,prefix,625,1851.9
generic,625,10,miss,scan,0,9.2
generic,625,10,miss,prefix,1,21.8
