alphabet,dim,size,k,n_atoms,n_buckets,mean_bucket_size,max_bucket_size,atom_collision_rate
birkhoff_n25,625,50,4,50,50,1.0,1,0.0
birkhoff_n25,625,50,8,50,50,1.0,1,0.0
birkhoff_n25,625,50,16,50,50,1.0,1,0.0
birkhoff_n25,625,100,4,100,100,1.0,1,0.0
birkhoff_n25,625,100,8,100,100,1.0,1,0.0
birkhoff_n25,625,100,16,100,100,1.0,1,0.0
birkhoff_n25,625,158,4,158,158,1.0,1,0.0
birkhoff_n25,625,158,8,158,158,1.0,1,0.0
birkhoff_n25,625,158,16,158,158,1.0,1,0.0
birkhoff_n25,625,200,4,200,200,1.0,1,0.0
birkhoff_n25,625,200,8,200,200,1.0,1,0.0
birkhoff_n25,625,200,16,200,200,1.0,1,0.0
birkhoff_n25,625,241,4,241,241,1.0,1,0.0
birkhoff_n25,625,241,8,241,241,1.0,1,0.0
birkhoff_n25,625,241,16,241,241,1.0,1,0.0
birkhoff_n25,625,300,4,300,300,1.0,1,0.0
birkhoff_n25,625,300,8,300,300,1.0,1,0.0
birkhoff_n25,625,300,16,300,300,1.0,1,0.0
birkhoff_n25,625,389,4,389,389,1.0,1,0.0
birkhoff_n25,625,389,8,389,389,1.0,1,0.0
birkhoff_n25,625,389,16,389,389,1.0,1,0.0
birkhoff_n60,3600,50,4,50,50,1.0,1,0.0
birkhoff_n60,3600,50,8,50,50,1.0,1,0.0
birkhoff_n60,3600,50,16,50,50,1.0,1,0.0
birkhoff_n60,3600,100,4,100,100,1.0,1,0.0
birkhoff_n60,3600,100,8,100,100,1.0,1,0.0
birkhoff_n60,3600,100,16,100,100,1.0,1,0.0
birkhoff_n60,3600,158,4,158,158,1.0,1,0.0
birkhoff_n60,3600,158,8,158,158,1.0,1,0.0
birkhoff_n60,3600,158,16,158,158,1.0,1,0.0
birkhoff_n60,3600,200,4,200,200,1.0,1,0.0
birkhoff_n60,3600,200,8,200,200,1.0,1,0.0
birkhoff_n60,3600,200,16,200,200,1.0,1,0.0
birkhoff_n60,3600,241,4,241,241,1.0,1,0.0
birkhoff_n60,3600,241,8,241,241,1.0,1,0.0
birkhoff_n60,3600,241,16,241,241,1.0,1,0.0
birkhoff_n60,3600,300,4,300,300,1.0,1,0.0
birkhoff_n60,3600,300,8,300,300,1.0,1,0.0
birkhoff_n60,3600,300,16,300,300,1.0,1,0.0
birkhoff_n60,3600,389,4,389,389,1.0,1,0.0
birkhoff_n60,3600,389,8,389,389,1.0,1,0.0
birkhoff_n60,3600,389,16,389,389,1.0,1,0.0
